,reviewerID,productID,rating,date
46921,A3OXHLG6DIBRW8,B0004MTMD0,5.0,2012-10-24
46941,A1K31E7YNVQRIT,B0004MTMD0,5.0,2014-02-04
46946,A1XVQ3KHS22E3F,B0004MTMD0,4.0,2012-08-24
46985,A14B4MJ7KZE63B,B0004MTMD0,4.0,2014-05-17
47007,A1Z7Y2GMAP9SRY,B0004MTMD0,4.0,2013-03-15
47043,A23E9ZPS2RQZS0,B0004MTMD0,5.0,2013-07-21
47046,AQQLWCMRNDFGI,B0004MTMD0,4.0,2013-02-10
65994,A1Z54EM24Y40LL,B00099XMX4,4.0,2012-02-05
66033,A35W3JQYP0M655,B00099XMX4,5.0,2012-05-07
66038,A37MH7ICH80QOX,B00099XMX4,5.0,2012-10-26
66046,A19SDJ2TSSL8HI,B00099XMX4,4.0,2012-05-10
66047,A14B4MJ7KZE63B,B00099XMX4,4.0,2014-05-18
66067,A3W4D8XOGLWUN5,B00099XMX4,4.0,2012-01-13
66094,A27NTHPTRXB766,B00099XMX4,5.0,2014-02-11
66105,AQQLWCMRNDFGI,B00099XMX4,4.0,2014-05-17
97602,A2YIO225BTKVPU,B000E1BL5S,4.0,2013-02-04
97639,A2HMF8ZR67BNZS,B000E1BL5S,5.0,2014-03-17
97769,A9GPCR9WJQCCJ,B000E1BL5S,4.0,2014-05-13
97808,A3094EPI56GKZ6,B000E1BL5S,3.0,2013-06-01
97810,A14B4MJ7KZE63B,B000E1BL5S,4.0,2014-05-18
97901,A11EIDY6DD40CS,B000E1BL5S,4.0,2013-08-09
97934,A27NTHPTRXB766,B000E1BL5S,5.0,2014-01-27
97935,A16WPA6JV83YXT,B000E1BL5S,5.0,2012-09-21
97964,AQQLWCMRNDFGI,B000E1BL5S,4.0,2012-07-28
103829,A2HMF8ZR67BNZS,B000E1HUVC,5.0,2013-08-08
103840,A3PD8JD9L4WEII,B000E1HUVC,4.0,2014-04-30
103856,A3OXHLG6DIBRW8,B000E1HUVC,5.0,2012-12-25
103910,A1XVQ3KHS22E3F,B000E1HUVC,5.0,2012-06-23
103925,A3T1LD0C65QCWK,B000E1HUVC,5.0,2014-01-29
103980,A3VI2VETB90ZG5,B000E1HUVC,5.0,2013-02-09
104011,A14B4MJ7KZE63B,B000E1HUVC,4.0,2014-06-25
104025,A1GQAKL9CGQLP1,B000E1HUVC,5.0,2014-02-11
104026,A2MNB77YGJ3CN0,B000E1HUVC,5.0,2014-03-15
104075,A1Z7Y2GMAP9SRY,B000E1HUVC,5.0,2014-01-11
148849,A1F7YU6O5RU432,B000F4DKAI,5.0,2011-08-03
148904,ARIZ8PY9ULPHH,B000F4DKAI,5.0,2011-11-09
148970,A1Z54EM24Y40LL,B000F4DKAI,2.0,2013-05-24
149051,A34GZPHWYPSY2T,B000F4DKAI,5.0,2012-07-07
149065,A36MP37DITBU6F,B000F4DKAI,5.0,2013-10-19
149169,A1E1LEVQ9VQNK,B000F4DKAI,5.0,2013-01-10
149176,ACEA95FQS1AVP,B000F4DKAI,1.0,2011-08-23
149277,A14BTJRH9VNLJJ,B000F4DKAI,5.0,2014-03-06
149387,ADS99W8WMEXZ2,B000F4DKAI,5.0,2014-01-30
149433,AAA0TUKS5VBSA,B000F4DKAI,4.0,2013-08-05
167911,A1F7YU6O5RU432,B000FIXT2I,5.0,2012-02-12
167925,A3PD8JD9L4WEII,B000FIXT2I,5.0,2012-03-03
168019,A2MNB77YGJ3CN0,B000FIXT2I,5.0,2013-02-24
168029,AVJJ2D4G5I0Z4,B000FIXT2I,5.0,2012-08-04
168060,A3HJHV83O2U8BL,B000FIXT2I,5.0,2013-12-20
168082,A3SPRSLV03DT6Y,B000FIXT2I,5.0,2014-01-29
168091,A58N07M0ZCYMB,B000FIXT2I,5.0,2013-04-04
184304,AHKPZ11JT110F,B000GFYRHG,2.0,2011-04-26
184349,A1P2XYD265YE21,B000GFYRHG,2.0,2011-12-05
184474,A2OM4VC2GYCIXW,B000GFYRHG,4.0,2014-01-27
184512,A2SZLNSI5KOQJT,B000GFYRHG,5.0,2012-08-20
184596,A1Z54EM24Y40LL,B000GFYRHG,4.0,2014-01-16
184745,A1UFLVSJ3IRETQ,B000GFYRHG,5.0,2011-03-08
185094,A37MH7ICH80QOX,B000GFYRHG,5.0,2012-06-26
185097,A36MS27KAA5S26,B000GFYRHG,5.0,2013-11-02
185134,A1AES697PC2IW5,B000GFYRHG,5.0,2011-02-12
185249,A1GQAKL9CGQLP1,B000GFYRHG,5.0,2012-01-06
185283,A1PI8VBCXXSGC7,B000GFYRHG,5.0,2011-08-20
185378,ADS99W8WMEXZ2,B000GFYRHG,5.0,2014-01-30
185519,A2YB7DLC3FOR7W,B000GFYRHG,3.0,2013-05-16
185625,A281NPSIMI1C2R,B000GFYRHG,4.0,2011-10-09
185662,A3HJHV83O2U8BL,B000GFYRHG,5.0,2012-02-21
185669,A3436BWMMFP4VY,B000GFYRHG,4.0,2013-07-10
185739,A2DPYMNI2HCIOI,B000GFYRHG,4.0,2011-11-03
185764,A2B7BUH8834Y6M,B000GFYRHG,5.0,2013-06-14
185816,A36RJG7HHV45TQ,B000GFYRHG,5.0,2014-02-13
185818,AQQLWCMRNDFGI,B000GFYRHG,3.0,2013-10-19
185850,A2WW57XX2UVLM6,B000GFYRHG,5.0,2011-01-31
233970,A34BZM6S9L7QI4,B000LKTJ9C,5.0,2014-05-08
233975,A2V1J3JT5OOZFO,B000LKTJ9C,1.0,2012-10-26
234008,A281NPSIMI1C2R,B000LKTJ9C,3.0,2012-04-04
254353,A2M9D9BDHONV3Y,B000MDCDJ6,5.0,2013-10-23
254354,A1J5HIF41ENSMZ,B000MDCDJ6,4.0,2013-12-31
254355,A1W415JP5WEAJK,B000MDCDJ6,3.0,2013-12-29
254360,A2YIO225BTKVPU,B000MDCDJ6,4.0,2012-05-14
254365,A3LWC833HQIG7J,B000MDCDJ6,4.0,2012-08-22
254366,A2263F1WASP2PG,B000MDCDJ6,1.0,2013-11-10
254370,AK7CAW3N1XZV6,B000MDCDJ6,4.0,2013-12-02
254372,A30SPABIPVN5MV,B000MDCDJ6,3.0,2013-12-05
254380,A35X2JJI49OBZP,B000MDCDJ6,4.0,2013-10-25
254382,A1X3ESYZ79H59E,B000MDCDJ6,3.0,2014-02-11
254383,A2XNOB1T796Y6B,B000MDCDJ6,3.0,2013-10-23
254384,A3OXHLG6DIBRW8,B000MDCDJ6,5.0,2014-01-30
254385,AYGEP8I4BQ3CK,B000MDCDJ6,4.0,2013-11-07
254390,A279A4Y2N1CQ26,B000MDCDJ6,3.0,2014-01-30
254391,A1Z54EM24Y40LL,B000MDCDJ6,4.0,2013-12-03
254392,A3EXWV8FNSSFL6,B000MDCDJ6,4.0,2014-01-11
254394,ALNFHVS3SC4FV,B000MDCDJ6,4.0,2014-01-01
254395,A10ZBR6O8S8OCY,B000MDCDJ6,4.0,2014-01-19
254397,A1SINHLUYMCCRK,B000MDCDJ6,4.0,2013-12-06
254398,A1TR1R2QKWRSRA,B000MDCDJ6,4.0,2014-02-17
254401,ACJT8MUC0LRF0,B000MDCDJ6,4.0,2013-12-28
254402,A3BFDEBT5IV4UN,B000MDCDJ6,4.0,2013-12-30
254403,A2AZIQJGBLU7WN,B000MDCDJ6,4.0,2013-11-14
254405,A2PSC7LUNIDEAH,B000MDCDJ6,5.0,2013-12-23
